,Unnamed: 0,OBJECTID,Shape,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date,elev_files
3050,11642,4619655,"(-109.86619999999999, 44.46590000000003)",Billings Gazette,http://www.billingsgazette.net/articles/2007/08/19/news/wyoming/38-mudslide.txt,188,2007-08-18 00:00:00,,"Cody, WY","thunderstorms triggered mudslide, 40 to 50 feet long and about 4 feet deep","Cody, WY",5km,landslide,rain,small,unknown,,,,,,GLC,188.0,44.4659,-109.8662,United States,US,Wyoming,Yellowstone Lake,32.57,2014-04-01 00:00:00,2021-04-10 04:48:47,3050.tiff
3051,11643,4619656,"(-121.91569999999996, 37.64560000000006)",sfgate,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2011/03/25/BAU61IK00P.DTL,3296,2011-03-25 09:00:00,09:00,"Pleasanton Ridge, west side of Pleasanton, Almeda county, CA","Weeks of rain triggered a small landslide Friday morning on the Pleasanton Ridge that destroyed a water main supplying 160 homes.  City officials said the homes would be without potable water at least until Sunday. More rain, which is expected, could slow the process.  ""Mother Nature is making it difficult, but we're doing everything we can,"" said Daniel Smith, director of operations for the city.  There appeared to be no injuries or damage to private property, Smith said.  Smith said that a storage reservoir still supplied some water to the homes, but the water was not safe for drinking.  Most of the homes are within the city limits. Others are in unincorporated Alameda County but receive water from Pleasanton. The ridge runs on the west side of Pleasanton. ","Pleasanton Ridge, west side of Pleasanton, Almeda county, CA",10km,landslide,downpour,small,unknown,0.0,,,,,GLC,3296.0,37.6456,-121.9157,United States,US,California,Livermore Municipal,10.23,2014-04-01 00:00:00,2021-04-10 04:43:03,3051.tiff
3052,11644,4619657,"(-81.58999999999997, 41.21500000000003)",ABC5,http://www.newsnet5.com/news/local-news/oh-summit/landslide-causes-road-closure-in-boston-and-richfield-townships,7187,2015-04-02 00:00:00,,Wheatley Rd between Revere and Everett,A  worsening landslide has caused a closure of Wheatley Road,Wheatley Rd between Revere and Everett,1km,riverbank_collapse,unknown,small,above_river,0.0,0.0,,,,GLC,7187.0,41.215,-81.59,United States,US,Ohio,Akron,12.23,2015-07-14 15:09:09,2021-04-10 04:39:04,3052.tiff
3053,11648,4619661,"(-117.88789999999995, 34.14690000000007)",San Gabriel Valley Tribune/ Weather,http://www.sgvtribune.com/general-news/20140228/los-angeles-rain-leads-to-traffic-havoc-mudslides-power-outages#http://www.sgvtribune.com/general-news/20140228/los-angeles-rain-leads-to-traffic-havoc-mudslides-power-outages,5908,2014-02-28 00:00:00,,"1200 E Sierra Madre Ave Azusa, CA 91702","In the foothill communities of Azusa and Glendora, two feet of mud covered portions of Yucca Ridge Road around 10:30 a.m, according to the National Weather Service. Residents said the mud was quickly cleared by bulldozers.","1200 E Sierra Madre Ave Azusa, CA 91702",1km,mudslide,downpour,large,above_road,0.0,0.0,,,,GLC,5908.0,34.1469,-117.8879,United States,US,California,Brackett Field,11.59,2014-08-24 00:00:00,2021-04-10 04:44:41,3053.tiff
3054,11650,4619663,"(-79.88009999999997, 40.48100000000005)",CBS Pittsburgh,http://pittsburgh.cbslocal.com/2015/06/19/landslide-downed-tree-closes-part-of-hulton-bridge-detour-route/,6953,2015-06-18 00:00:00,,"Lincoln-Lemington, Pennyslvania: Route 130 (Allegheny River Boulevard) between Nadine Road and Washington Boulevard.",The landslide closed one lane of Route 130,"Lincoln-Lemington, Pennyslvania: Route 130 (Allegheny River Boulevard) between Nadine Road and Washington Boulevard.",5km,landslide,unknown,small,above_road,0.0,0.0,,https://cbspittsburgh.files.wordpress.com/2015/06/allegheny-river-blvd-slide-2.jpg?w=640&h=360&crop=1,,GLC,6953.0,40.481,-79.8801,United States,US,Pennsylvania,Pittsburgh,10.07,2015-06-25 16:30:42,2021-04-10 04:47:57.000001,3054.tiff
3055,11657,4619670,"(-121.95419999999996, 44.43870000000004)",Oregon DOT,,8458,2013-08-10 15:00:00,15:00,OR 22,,OR 22,exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8458.0,44.4387,-121.9542,United States,US,Oregon,Mount Jefferson,28.2,2016-07-06 17:46:06,2021-04-10 04:46:21,3055.tiff
3056,11659,4619672,"(-122.25259999999997, 45.53170000000006)",Oregon DOT,,8520,2012-12-17 07:00:00,07:00,"Historic Columbia River Highway, milepost 8.8",,"Historic Columbia River Highway, milepost 8.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8520.0,45.5317,-122.2526,United States,US,Oregon,Portland Troutdale,11.67,2016-07-07 14:15:22,2021-04-10 04:48:47,3056.tiff
3057,11660,4619673,"(-123.77929999999998, 44.01180000000005)",Oregon DOT,,8466,2013-06-09 18:00:00,18:00,"OR 126, milepost 19",,"OR 126, milepost 19",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8466.0,44.0118,-123.7793,United States,US,Oregon,Smith River,23.96,2016-07-06 17:51:45,2021-04-10 04:48:47,3057.tiff
3058,11661,4619674,"(-123.50899999999996, 44.463400000000036)",Oregon DOT,,8600,2012-04-03 17:00:00,17:00,"OR 34, milepost 47.5",,"OR 34, milepost 47.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8600.0,44.4634,-123.509,United States,US,Oregon,Philomath,14.72,2016-07-07 16:00:30,2021-04-10 04:48:47,3058.tiff
3059,11662,4619675,"(-81.43109999999996, 36.22040000000004)",www.journalpatriot.com,http://www.journalpatriot.com/news/article_ac204dd6-4184-11e3-89ad-0019bb30f31a.html,5216,2013-07-27 00:00:00,,"Wilkes, Catawba And Lincoln Counties, Nc","Wilkes is among six counties declared eligible for federal aid due to damage on July 27 from landslides and flooding, caused by excessive rain. President Obama approved disaster status for Wilkes, Ashe, Avery, Catawba, Lincoln and Watauga counties on Tuesday, according to a White House press release issued about 10 p.m. Tuesday. The designation makes federal funding available to state and local governments and certain private nonprofit entities on a cost-share basis for emergency work, repairing or replacing facilities damaged by flooding and landslides and for hazard mitigation work, the press release said. The press release said more designations may be made later if requested by the state and warranted by results of more damage assessments. W. Craig Fugate, director of the N.C. Department of Public SafetyÕs Division of Emergency Management, named Michael Bolch as the coordinating officer for recovery operations in the six counties. Fugate also is Federal Emergency Management Agency ","Wilkes, Catawba And Lincoln Counties, Nc",unknown,landslide,rain,medium,unknown,,,,,,GLC,5216.0,36.2204,-81.4311,United States,US,North Carolina,Wilkes County,23.03,2014-04-01 00:00:00,2021-04-10 04:39:53,3059.tiff
3060,11665,4619678,"(-80.17079999999999, 39.48960000000005)",wdtv,http://www.wdtv.com/index.php/home/local-news/6115-mudslide-closes-marion-co-road,3419,2011-04-25 06:00:00,06:00,"Hillcrest rd., outside Freemont, WV","Monday, 25 April 2011 11:11  The weekend's rainy weather is causing a number of headaches, especially in Marion County.  A road there is closed, as crews are trying to clean up a mudslide from Monday morning.  Officials say at least 40 truck loads of mud blocked Hillcrest Road, outside Downtown Fairmont.  The mudslide happened around 6:00 Monday morning.   They say this was a particularly bad mudslide but, luckily, no cars were around, and nobody was hurt.  The Division of Highways is cleaning up the mess, which they say could take all day today and even part of Tuesday.","Hillcrest rd., outside Freemont, WV",1km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,3419.0,39.4896,-80.1708,United States,US,West Virginia,Fairmont,3.44,2014-04-01 00:00:00,2021-04-10 04:39:53,3060.tiff
3061,11666,4619679,"(-132.63939999999997, 56.62150000000008)",KFSK - Community Radio,http://www.kfsk.org/2015/09/14/landslide-causes-road-closure-on-mitkof-island/,8115,2015-09-11 00:00:00,,"Dry Straits Road, Alaska","Recent heavy rainfall is thought to be the culprit of a landslide that is blocking one of the road’s on Petersburg’s Mitkof Island. Rocks spilled across Dry Straits Road at about the 5 mile point. It was first noticed Friday.  Linda Slaght is the Acting District Ranger for the Petersburg Ranger District.  “It’s a rock slide mostly across the road at about, between 5.2 and 5.3 mile on the Dry Straits Road,” Slaght said. “And it’s about 70 cubic yards of material that needs to be removed. The road appears to be in pretty good shape although there are several other spots where there’s been some washing of the surface material and so we will need to put some crushed rock over the road about thirty cubic yards of that.”  Now the Forest Service is putting together a contract to get the road cleared as soon as possible.","Dry Straits Road, Alaska",1km,rock_fall,rain,medium,above_road,0.0,0.0,,http://kfsk-org.s3.amazonaws.com/wp-content/uploads/2015/09/Dry-Straights-Road-landslide-300x225.jpg,,GLC,8115.0,56.6215,-132.6394,United States,US,Alaska,Mitkof Island,9.93,2016-06-30 20:20:15,2021-04-10 04:45:33,3061.tiff
3062,11667,4619680,"(-115.28459999999995, 43.81610000000006)",www.elmorecounty.org,http://www.elmorecounty.org/offices/commissioners/minutes/minutes04/06-29-04.htm,5561,2013-09-29 00:00:00,,"Middle Fork Road, Boise National Forest, Boise, Id","WHEREAS, The Elmore County Board of Commissioners, pursuant to Idaho Code Section 46-1011, has the authority to declare a state of local disaster emergency regarding Elmore County, Idaho; and WHEREAS, On June 29th, 2004, heavy rain caused several mud slides on the Middle Fork of the Boise River between the Queens River and Weatherby Air Strip of which two major slides have crossed the Middle Fork of the Boise River and the Middle Fork Road, (at Lake Creek and Steel Creek), leading to Atlanta, Idaho; and WHEREAS, The mud slides blocked the river and the road which at this time is causing the washing away of some of the road bed for the Middle Fork Road; and WHEREAS, The road bed in the area of the slides will need to be raised from three to five feet to finalize the rebuilding of the Middle Fork Road; and","Middle Fork Road, Boise National Forest, Boise, Id",1km,landslide,downpour,medium,unknown,0.0,,,,,GLC,5561.0,43.8161,-115.2846,United States,US,Idaho,Atlanta,13.04,2014-04-01 00:00:00,2021-04-10 04:40:41,3062.tiff
3063,11676,4619689,"(-120.4339, 48.36260000000004)",Methow Valley Ranger District,http://www.fs.usda.gov/wps/portal/fsinternet/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3gjAwhwtDDw9_AI8zPyhQoY6BdkOyoCAGixyPg!/?ss=110617&navtype=BROWSEBYSUBJECT&cid=STELPRDB5319306&navid=180000000000000&pnavid=null&position=News&ttype=detail&pname=Okanogan-W,3857,2011-07-28 00:00:00,,"Forest Road, Winthrop, WA","Road repair work continues in response to the debris flows that damaged several National Forest Roads around Twisp and Winthrop this spring.  Several debris flows were triggered by this spring’s unusually wet weather.  Those flows damaged, and in some cases closed, a number of Forest roads.     One of the largest was the Pearrygin Creek debris flow.  It blocked Forest Road 5009100, northeast of Winthrop near Pearrygin State Park, cutting off access to Sullivan Pond and Ramsey Creek.  The flow deposited silt and debris across approximately 28 acres of farmland.  The debris has been cleared from the 5009100 road, and the creek crossing has been temporarily repaired.  The road is open again to high clearance vehicles.  Further up, the 5009200 road was also damaged.  This road, leading into Ramsey Creek, is not yet repaired and remains closed along with the upper end of the 5009300 road.   To the southwest, another large debris flow came down an unnamed drainage near War Creek, destroying ","Forest Road, Winthrop, WA",5km,landslide,rain,medium,above_road,0.0,,,,,GLC,3857.0,48.3626,-120.4339,United States,US,Washington,Methow Valley State,22.04,2016-01-13 21:31:24,2021-04-10 04:38:14,3063.tiff
3064,11687,4619700,"(-111.81909999999999, 40.91080000000005)",deseretnews,http://www.deseretnews.com/article/705373142/Moisture-laden-soils-slide-in-Beaver-Farmington.html,3529,2011-05-22 00:00:00,,"Ward Canyon Road(Forest Road No. 80177)(?),between forest service boundary and Skyline dr., east of Bountiful, Davis County, UT","Kathy Jo Pollock with the Uinta-Cache-Wasatch National Forest said the Ward Canyon Road, (Forest Road No. 80177) in Davis County east of Bountiful has been closed due to slipping hillsides that have damaged the road. The closure begins at the forest service boundary and goes east to the junction with Skyline Drive (Forest Road No. 80008)  ----  Also, the Ward Canyon Road, east of Bountiful remains closed, due to unstable soil conditions that have damaged a portion of the road, Pollock said. The closure begins at the forest service boundary and goes east to the junction with Skyline Drive.","Ward Canyon Road(Forest Road No. 80177)(?),between forest service boundary and Skyline dr., east of Bountiful, Davis County, UT",5km,landslide,downpour,small,unknown,0.0,,,,,GLC,3529.0,40.9108,-111.8191,United States,US,Utah,Bountiful,6.57,2014-04-01 00:00:00,2021-04-10 04:40:41,3064.tiff
3065,11692,4619705,"(-122.44129999999996, 44.11650000000003)",Oregon DOT,,8669,2012-02-10 22:00:00,22:00,"OR 126, milepost 34",,"OR 126, milepost 34",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8669.0,44.1165,-122.4413,United States,US,Oregon,Vida,10.99,2016-07-07 18:06:34,2021-04-10 04:48:47,3065.tiff
3066,11699,4619712,"(-123.81719999999996, 44.667700000000025)",Oregon DOT,,8560,2012-11-19 16:00:00,16:00,"US 20, milepost 20",,"US 20, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8560.0,44.6677,-123.8172,United States,US,Oregon,Eddyville,6.24,2016-07-07 15:13:42,2021-04-10 04:44:41,3066.tiff
3067,11700,4619713,"(-81.93119999999999, 37.802400000000034)",www.wsaz.com,http://www.wsaz.com/news/headlines/Mudslides-in-Logan-County-Trap-People-in-Neighborhoods-215156871.html,5078,2013-07-11 00:00:00,,"Lyburn Area, Logan County, Wv","A mudslide has left people with no way out of their neighborhood for the second time in just over a week. Neighbors in the Lyburn area said the mudslides are caused by road construction on top of a mountain, where cut trees have caused dirt to come loose.","Lyburn Area, Logan County, Wv",1km,landslide,rain,medium,unknown,0.0,,,,,GLC,5078.0,37.8024,-81.9312,United States,US,West Virginia,Mingo County,31.72,2014-04-01 00:00:00,2021-04-10 04:46:21,3067.tiff
3068,11705,4619718,"(-81.55289999999997, 40.22050000000007)",New Philadelphia Times Reporter,http://www.timesreporter.com/article/20140102/NEWS/140109934/1994/NEWS,5743,2014-01-02 00:00:00,,"Newcomerstown, Ohio",The I-77 southbound travel lane is being closed indefinitely this afternoon near the Tuscarawas/Guernsey County line due to a landslide. One lane of traffic will be maintained in the,"Newcomerstown, Ohio",10km,landslide,unknown,medium,below_road,0.0,0.0,,,,GLC,5743.0,40.2205,-81.5529,United States,US,Ohio,Cambridge,22.58,2015-01-26 21:06:01,2021-04-10 04:48:47,3068.tiff
3069,11706,4619719,"(-80.78439999999995, 40.411500000000046)",WTRF,http://www.wtrf.com/story/28554491/landslide-reduces-oh-sr-646-to-1-lane-in-jefferson-county-oh,6888,2015-03-18 09:00:00,09:00,OH SR 646 just east of OH SR 154,"The westbound lane is closed while officials investigate the slide, prepare a design to fix the area and secure a contractor to make repairs, according to ODOT.",OH SR 646 just east of OH SR 154,10km,landslide,unknown,small,below_road,0.0,0.0,,http://wtrf.images.worldnow.com/images/7175561_G.jpg,,GLC,6888.0,40.4115,-80.7844,United States,US,Ohio,Jefferson County Airpark,8.9,2015-04-03 19:28:30,2021-04-10 04:48:47,3069.tiff
3070,11713,4619726,"(-123.92719999999997, 45.55910000000006)",Oregon DOT,,8080,2015-12-11 02:00:00,02:00,"US 101, milepost 54.9",,"US 101, milepost 54.9",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8080.0,45.5591,-123.9272,United States,US,Oregon,Rockaway,5.35,2016-06-30 19:19:23,2021-04-10 04:47:57.000001,3070.tiff
3071,11715,4619728,"(-110.73199999999997, 45.04320000000007)",www.kbzk.com,http://www.kbzk.com/news/crews-work-to-clear-highway-89-yellowstone-s-north-entrance-re-opens/#!prettyPhoto/0/,5124,2013-07-17 00:00:00,,"Highway 89 North Of Gardiner, Mt","Crews are cleaning up a big mudslide that closed U.S. Highway 89 north of Gardiner during Wednesday's severe storms. The road, which is the only link between Yellowstone Park's northern entrance and Livingston, was covered in water and mud when heavy rains moved through the upper valley on Wednesday. Initial reports indicated the road was covered by mud up to eight-feet deep and MDT closed the road to all traffic but managed to get the highway partially re-opened overnight.","Highway 89 North Of Gardiner, Mt",5km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,5124.0,45.0432,-110.732,United States,US,Montana,Gardiner,1.92,2014-04-01 00:00:00,2021-04-10 04:39:53,3071.tiff
3072,11718,4619731,"(-122.70659999999998, 45.525900000000036)",Oregon Live,http://blog.oregonlive.com/breakingnews/2007/02/small_landslide_blocks_part_of.html,7798,2007-02-25 14:00:00,14:00,"2733 NW Monte Vista Terrace, Portland, OR","city crew scrambled to assess the hillside's stability before carting off eight dump truck loads of debris that landed on Northwest Macleay Boulevard at Lomita Terrace. No one was injured.  The road was cleared by 9:45 p.m. Saturday, though it remained passable while the crew worked. No further problem with the hillside had been reported as of Sunday afternoon, said Cheryl Kuck, spokeswoman for the Portland Office of Transportation.  The slide, phoned in to police at 2:30 p.m. Saturday, originated at 2733 N.W. Monte Vista Terrace, a 3,900-square-foot home.","2733 NW Monte Vista Terrace, Portland, OR",exact,landslide,downpour,small,above_road,0.0,0.0,,,,GLC,7798.0,45.5259,-122.7066,United States,US,Oregon,Portland,10.6,2016-06-22 19:37:19,2021-04-10 04:47:09,3072.tiff
3073,11721,4619734,"(-123.97549999999995, 43.69050000000004)",Oregon DOT,,8791,2011-03-30 07:00:00,07:00,"OR 38, milepost 7",,"OR 38, milepost 7",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8791.0,43.6905,-123.9755,United States,US,Oregon,Reedsport,11.21,2016-07-08 17:03:03.000001,2021-04-10 04:46:21,3073.tiff
3074,11722,4619735,"(-124.11309999999997, 44.28860000000003)",Oregon DOT,,8051,2015-12-18 11:00:00,11:00,"US 101, milepost 166.5",,"US 101, milepost 166.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8051.0,44.2886,-124.1131,United States,US,Oregon,Yachats,3.13,2016-06-30 18:31:17,2021-04-10 04:48:47,3074.tiff
3075,11724,4619737,"(-123.42599999999999, 48.03640000000007)",seattletimes.nwsource,http://seattletimes.nwsource.com/html/localnews/2010847374_apwahurricaneridge.html,1413,2010-01-18 00:00:00,,"Heart O' the Hills campground, Olympic National Park, WA",Engineers and park officials have inspected a washout just north of the Heart O' the Hills campground where 100 feet of road crumbled away. Park officials say the hillside below the road gave way on Monday. The slide was caused by heavy rains.,"Heart O' the Hills campground, Olympic National Park, WA",1km,landslide,downpour,small,unknown,0.0,,,,,GLC,1413.0,48.0364,-123.426,United States,US,Washington,William R Fairchild International,10.73,2014-04-01 00:00:00,2021-04-10 04:38:14,3075.tiff
3076,11727,4619740,"(-107.87169999999998, 37.07200000000006)",Durango Herald,http://www.durangoherald.com/article/20160227/NEWS01/160229631/Concrete-barrier-to-protect-Highway-550-from-further-rockfall,7531,2016-02-14 00:00:00,,Highway 550 south of Durango,A giant slab of rock came loose and fell onto U.S. Highway 550 south of Durango on Feb. 14. Colorado Department of Transportation will install a 700-foot concrete barrier Monday to cordon off a northbound lane through the spring freeze-thaw cycle.,Highway 550 south of Durango,5km,rock_fall,freeze_thaw,small,above_road,0.0,0.0,,http://www.durangoherald.com/storyimage/DU/20160227/NEWS01/160229631/AR/0/AR-160229631.jpg&ExactW=620,,GLC,7531.0,37.072,-107.8717,United States,US,Colorado,Riverside,10.79,2016-03-14 11:32:10,2021-04-10 04:42:16,3076.tiff
3077,11729,4619742,"(-118.55849999999998, 34.621800000000064)",San Gabriel Valley Tribune/ Weather,http://www.sgvtribune.com/general-news/20140228/los-angeles-rain-leads-to-traffic-havoc-mudslides-power-outages#http://www.sgvtribune.com/general-news/20140228/los-angeles-rain-leads-to-traffic-havoc-mudslides-power-outages,5906,2014-02-28 00:00:00,,"Lake Hughes Rd Angeles National Forest, Lake Hughes, CA 93532","North of Santa Clarita, a mudslide occurred on Lake Hughes Road. Several cars were trapped, but no homes were threatened and no residents were evacuated.","Lake Hughes Rd Angeles National Forest, Lake Hughes, CA 93532",25km,mudslide,downpour,large,above_road,0.0,0.0,,,,GLC,5906.0,34.6218,-118.5585,United States,US,California,Caswells,24.34,2014-08-24 00:00:00,2021-04-10 04:47:57.000001,3077.tiff
3078,11732,4619745,"(-109.78729999999996, 47.68160000000006)",billingsgazette.com,http://billingsgazette.com/lifestyles/recreation/slide-washout-close-monument-roads/article_74a0a99d-46b6-51ea-8b4b-5ce38a40253c.html,5326,2013-08-14 00:00:00,,"Lower Two Calf Road, Woodhawk Wilderness Study Area","Portions of Lower Two Calf and Woodhawk Crossing roads in the Upper Missouri River Breaks National Monument have been closed following flooding and a landslide. Both roads are located in the Woodhawk Wilderness Study Area, northeast of Winifred in Fergus County. ÒA large landslide has broken away from the side of Lower Two Calf Road, causing a deep, vertical drop-off where the shoulder of the road should be,Ó said Michael Kania, monument manager, in a press release. ÒThis has created an immediate unsafe situation for vehicular travel.Ó Barriers have been placed on both sides of the landslide to stop traffic. ÒThe BLM is proposing to rebuild this section of Lower Two Calf Road at a safe distance to the south of the landslide area,"" Kania said. ""Specific proposed routes have not yet been identified. When a suitable, safe, alternative is identified, the BLM will complete an environmental assessment.""","Lower Two Calf Road, Woodhawk Wilderness Study Area",unknown,landslide,downpour,medium,unknown,,,,,,GLC,5326.0,47.6816,-109.7873,United States,US,Montana,Winifred,32.88,2014-04-01 00:00:00,2021-04-10 04:47:09,3078.tiff
3079,11733,4619746,"(-122.86969999999997, 45.981700000000046)",Oregon DOT,,7984,2016-02-20 04:00:00,04:00,"US 30, milepost 38",,"US 30, milepost 38",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,7984.0,45.9817,-122.8697,United States,US,Oregon,Kalama,3.45,2016-06-30 16:40:02,2021-04-10 04:47:09,3079.tiff
3080,11738,4619751,"(-122.89669999999995, 43.29870000000005)",Oregon DOT,,8073,2015-12-12 22:00:00,22:00,"OR 138, milepost 29",,"OR 138, milepost 29",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8073.0,43.2987,-122.8967,United States,US,Oregon,Steamboat,14.56,2016-06-30 19:07:58.000001,2021-04-10 04:42:16,3080.tiff
3081,11739,4619752,"(-71.21649999999994, 42.14330000000007)",wickedlocal,http://www.wickedlocal.com/walpole/news/x427971816/Landslide-destroys-storage-building,1576,2010-03-15 19:00:00,19:00,"Wal-Mart off Rt. 1, Walpole, MA","Public safety officials say the region’s three straight days of heavy rain over the weekend and into Monday caused a landslide in the hills next to Wal-Mart that crushed part of a nearby storage facility.  Firefighters responded to the Stor/Gard self storage facility in the Wal-Mart parking lot off of Rte. 1 at about 7:15 on Monday evening when the severe pressure of the falling dirt caused the fire alarms in the building to go off, said Fire Chief Tim Bailey.","Wal-Mart off Rt. 1, Walpole, MA",exact,landslide,downpour,small,unknown,0.0,,,,,GLC,1576.0,42.1433,-71.2165,United States,US,Massachusetts,Norwood Memorial,6.32,2014-04-01 00:00:00,2021-04-10 04:40:41,3081.tiff
3082,11740,4619753,"(-122.8089, 45.61820000000006)",oregonlive,http://www.oregonlive.com/roadreport/index.ssf/2010/12/northwest_newberry_road_closed.html,2838,2010-12-12 00:00:00,,"NW Newberry rd, 200 yards west of rt 30, Portland, OR","A landslide has closed Northwest Newberry Road between U.S. 30 and Skyline Boulevard at least through today.  Nn engineer is examining the slide, which took place Sunday on a steep section about 200 yards west of U.S. 30, assessing, to determine how to fix it and reopen the road.  The closure will last at least through today, according to the Oregon Department of Transportation. ","NW Newberry rd, 200 yards west of rt 30, Portland, OR",1km,landslide,downpour,medium,unknown,0.0,,,,,GLC,2838.0,45.6182,-122.8089,United States,US,Oregon,Pearson Airpark,11.93,2014-04-01 00:00:00,2021-04-10 04:39:53,3082.tiff
3083,11742,4619755,"(-122.26739999999995, 47.25490000000008)",The News Tribune,http://www.thenewstribune.com/2014/02/18/3054678/landslide-hazards-lead-to-overnight.html#http://www.thenewstribune.com/2014/02/18/3054678/landslide-hazards-lead-to-overnight.html,5882,2014-02-18 00:00:00,,"11429-11471 Jovita Blvd E Edgewood, WA 98372",The city of Edgewood is closing a portion of Jovita Boulevard overnight Tuesday due to landslide hazards.The road closure will extend from 114th Avenue East to West Valley Highway starting at 7 p.m. Tuesday.,"11429-11471 Jovita Blvd E Edgewood, WA 98372",1km,landslide,unknown,large,above_road,0.0,0.0,,,,GLC,5882.0,47.2549,-122.2674,United States,US,Washington,Auburn,6.08,2014-08-24 00:00:00,2021-04-10 04:41:29,3083.tiff
3084,11749,4619762,"(-85.52099999999996, 34.86950000000007)",wsbtv,http://www.wsbtv.com/weather/21124942/detail.html,1194,2009-09-26 00:00:00,,"White Oak Gap Road, Dade County, GA","In Dade County in northwest Georgia a mudslide blocked White Oak Gap Road, according to the National Weather Service.","White Oak Gap Road, Dade County, GA",10km,mudslide,downpour,medium,unknown,,,,,,GLC,1194.0,34.8695,-85.521,United States,US,Georgia,Bridgeport,19.97,2014-04-01 00:00:00,2021-04-10 04:43:52.000001,3084.tiff
3085,11751,4619764,"(-111.74709999999999, 40.43360000000007)",www.sltrib.com,http://www.sltrib.com/sltrib/news/56851181-78/cave-park-rain-debris.html.csp,5477,2013-09-07 15:00:00,15:00,"S.R. 92 In American Fork Canyon, Ut","Timpanogos Cave reopened Tuesday morning after spending several days closed due to debris slides. Jim Ireland, Timanogos Cave superintendent, said the park was open for normal operations Tuesday, though crews still needed to do some repairs to a power conduit. The cave closed Saturday afternoon after heavy rain sent debris tumbling onto both the trail to the cave, as well as nearby State Road 92. The debris flow trapped about 150 people, who took shelter in the park visitorÕs center. Ireland said the park was well prepared for the incident. Authorities had previously stashed emergency blankets and other supplies at the cave, which they distributed to the stranded visitors. Authorities also gave some of the visitors spare T-shirts so they could change out of their wet clothing. Ireland said no injuries resulted from the incident. With more rain in the forecast, park personnel were keeping an eye on trails and roads. ""WeÕre not worried, but weÕre watchful,"" Ireland said. ""If we get heavy","S.R. 92 In American Fork Canyon, Ut",5km,debris_flow,downpour,medium,unknown,0.0,,,,,GLC,5477.0,40.4336,-111.7471,United States,US,Utah,American Fork,6.03,2014-04-01 00:00:00,2021-04-10 04:48:47,3085.tiff
3086,11752,4619765,"(-157.82899999999998, 21.313100000000077)",KGMB9.com,http://kgmb9.com/main/content/view/1461/40/,345,2007-11-03 00:00:00,,"Maunalaha Road, Honolulu, Hawaii","3 feet of mud on road, coming down from Round Top Road","Maunalaha Road, Honolulu, Hawaii",5km,mudslide,rain,small,unknown,,,,,,GLC,345.0,21.3131,-157.829,United States,US,Hawaii,Aina Haina,7.54,2014-04-01 00:00:00,2021-04-10 04:48:47,3086.tiff
3087,11753,4619766,"(-109.32789999999994, 33.642300000000034)",kold,http://www.kold.com/story/15068407/road-to-white-mountains-closed-due-to-mudslide,3767,2011-07-12 00:00:00,,"Highway 191 through Hannagan Meadow has closed the road from mile marker 232 to 239, through the Apache National Forest, Hannagan Meadow located about","TUCSON, AZ (KOLD) - The Arizona Department of Transportation reports a mudslide over Highway 191 through Hannagan Meadow has closed the road from mile marker 232 to 239.  Highway 191 runs through the Apache National Forest with Hannagan Meadow located about halfway between Clifton/Morenci Mine and Springerville/Eager, Arizona.   This is one of the few paved roads into the White Mountains.  Plan an alternate route to avoid delays.   The road is scheduled to reopen at 3 PM Thursday.  Check AZ511.gov for the latest road closure updates.","Highway 191 through Hannagan Meadow has closed the road from mile marker 232 to 239, through the Apache National Forest, Hannagan Meadow located about halfway between Clifton/Morenci Mine and Springerville/Eager, Arizona. ",5km,mudslide,rain,medium,unknown,0.0,,,,,GLC,3767.0,33.6423,-109.3279,United States,US,Arizona,Black River,16.53,2014-04-01 00:00:00,2021-04-10 04:39:04,3087.tiff
3088,11754,4619767,"(-118.96989999999994, 45.88590000000005)",Oregon DOT,,8277,2014-11-23 21:00:00,21:00,"OR 37, milepost 11",,"OR 37, milepost 11",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8277.0,45.8859,-118.9699,United States,US,Oregon,Stanfield,22.39,2016-07-05 18:55:33.000001,2021-04-10 04:48:47,3088.tiff
